id,nombre,horasTrabajadas,sueldo
1002, Alina, 6000, 6000
1, Lou, 120, 10000
15, Megen, 180, 10000
33, Earle, 90, 10000
36, Cristie, 180, 10000
39, Alfredo, 88, 10000
40, Sydney, 75, 10000
75, Solomon, 90, 10000
90, Margaretha, 75, 10000
100, Georgeta, 88, 10000
101, Marcille, 88, 10000
102, Ertha, 88, 10000
106, Nance, 75, 10000
107, Gaven, 180, 10000
108, Carlie, 220, 10000
130, Omero, 75, 10000
137, Johnette, 220, 10000
177, Robbi, 75, 10000
210, Sayres, 88, 10000
229, Tabina, 60, 10000
231, Marmaduke, 220, 10000
237, Cathleen, 180, 10000
254, Morris, 88, 10000
256, Gusty, 120, 10000
261, Josiah, 88, 10000
273, Bond, 180, 10000
284, Sidonia, 60, 10000
291, Chalmers, 220, 10000
318, Urban, 88, 10000
344, Genevra, 90, 10000
346, Janeta, 120, 10000
378, Brigg, 220, 10000
386, Demeter, 88, 10000
393, Barret, 60, 10000
435, Wesley, 60, 10000
441, Regine, 180, 10000
456, Leeanne, 75, 10000
457, Arnaldo, 180, 10000
473, Erek, 180, 10000
474, Salomi, 60, 10000
485, Melisse, 220, 10000
491, Skipton, 75, 10000
526, Homer, 325, 10000
562, Erica, 120, 10000
563, Keith, 120, 10000
573, Sutherlan, 75, 10000
577, Adrianne, 220, 10000
587, Hayes, 220, 10000
623, Dorotea, 88, 10000
635, Sherwin, 180, 10000
641, Maia, 220, 10000
645, Sarajane, 60, 10000
651, Thorndike, 220, 10000
659, Willdon, 220, 10000
672, Sheila-kathryn, 90, 10000
678, Nilson, 88, 10000
687, Devondra, 75, 10000
699, Evelyn, 75, 10000
708, Merle, 325, 10000
714, Jerrylee, 180, 10000
722, Joannes, 325, 10000
739, Winnifred, 75, 10000
746, Rosemarie, 75, 10000
749, Carola, 325, 10000
760, Sidonia, 120, 10000
764, Roslyn, 180, 10000
769, Egan, 325, 10000
776, Letta, 220, 10000
803, Lazaro, 220, 10000
809, Obadias, 220, 10000
821, Trevor, 180, 10000
822, Jefferey, 75, 10000
825, Andrei, 325, 10000
835, Adelle, 60, 10000
839, Oralia, 325, 10000
846, Brendin, 120, 10000
872, Madonna, 120, 10000
892, Devland, 60, 10000
897, Gabriell, 120, 10000
903, Judas, 120, 10000
913, Anetta, 60, 10000
